time,Vvout_highq
2.790109748184244e-004,1.078489e-002
2.810731029192393e-004,1.055810e-002
2.831666262038237e-004,1.006878e-002
2.852722487514076e-004,9.375636e-003
2.877746620214148e-004,8.381802e-003
2.911051131494905e-004,6.995606e-003
2.956016637804321e-004,5.317132e-003
2.991513387390281e-004,4.332075e-003
3.014808584799132e-004,3.969023e-003
3.035486429133061e-004,3.882628e-003
3.056520317891516e-004,4.010400e-003
3.083937491996083e-004,4.441189e-003
3.116141176105722e-004,5.207365e-003
3.155885027365930e-004,6.322382e-003
3.204382147889800e-004,7.578117e-003
3.253104871996827e-004,8.464664e-003
3.284257842030966e-004,8.704577e-003
3.309419331562816e-004,8.649661e-003
3.332710855885639e-004,8.428515e-003
3.354221803975272e-004,8.107165e-003
3.376909802976569e-004,7.682863e-003
3.398921546597476e-004,7.227568e-003
3.428785223809655e-004,6.611923e-003
3.460273093636924e-004,6.032872e-003
3.485848046995768e-004,5.664534e-003
3.508610397524639e-004,5.450662e-003
3.531590525448146e-004,5.361005e-003
3.559756111208712e-004,5.413303e-003
3.592003562201679e-004,5.653764e-003
3.630132562218968e-004,6.107214e-003
3.674066140009788e-004,6.697497e-003
3.731811892732267e-004,7.354517e-003
3.777368348794886e-004,7.651147e-003
3.810227230761415e-004,7.673077e-003
3.840468508201566e-004,7.544533e-003
3.871522256653190e-004,7.305782e-003
3.905560857464726e-004,6.977685e-003
3.938145789452866e-004,6.658905e-003
3.981168503536443e-004,6.306378e-003
4.017125063000237e-004,6.123348e-003
4.054777860718054e-004,6.080228e-003
4.094845083887633e-004,6.185473e-003
4.138003471618200e-004,6.422059e-003
4.187534094626918e-004,6.740811e-003
4.251221551187770e-004,7.077976e-003
4.295346051813265e-004,7.192580e-003
4.332725925312355e-004,7.171373e-003
4.372660201575855e-004,7.049019e-003
4.418780196544220e-004,6.842483e-003
4.465901741898580e-004,6.634260e-003
4.526218915969890e-004,6.454179e-003
4.574950980413688e-004,6.422127e-003
4.625287075771623e-004,6.505780e-003
4.679572450824080e-004,6.666901e-003
4.742511294267219e-004,6.848540e-003
4.805144811332487e-004,6.950355e-003
4.853583001284119e-004,6.942342e-003
4.904448567304038e-004,6.858190e-003
4.963808345164408e-004,6.728117e-003
5.032110857291209e-004,6.608791e-003
5.086200406196423e-004,6.578120e-003
5.143433565377449e-004,6.620310e-003
5.214043163627182e-004,6.721447e-003
5.289013656148079e-004,6.816158e-003
5.353357137362646e-004,6.843149e-003
5.413809184078165e-004,6.809590e-003
5.495593044091709e-004,6.726285e-003
5.573363740933197e-004,6.667410e-003
5.644327513126750e-004,6.664705e-003
5.721873996946462e-004,6.709806e-003
5.811330534940509e-004,6.762033e-003
5.936978004272315e-004,6.773229e-003
6.035662017374253e-004,6.737201e-003
6.142104108383558e-004,6.702262e-003
6.252207210614063e-004,6.711811e-003
6.368226493983520e-004,6.746293e-003
6.488265710651858e-004,6.758642e-003
6.591785819768620e-004,6.740904e-003
6.732477479510556e-004,6.719282e-003
6.882851178012162e-004,6.728586e-003
7.044583989591659e-004,6.744691e-003
7.218221692298466e-004,6.737744e-003
7.409712518102981e-004,6.727105e-003
7.611921259701885e-004,6.734774e-003
7.832185515784059e-004,6.739031e-003
8.054653061991998e-004,6.731622e-003
8.295918709355564e-004,6.732749e-003
8.568460477203573e-004,6.737116e-003
8.854280729720545e-004,6.733553e-003
9.202184476411617e-004,6.736651e-003
9.304192516617855e-004,6.738463e-003
9.508208597030333e-004,6.734269e-003
9.591967849175044e-004,6.731709e-003
9.759486353464467e-004,6.732247e-003
1.000000001000000e-003,6.741500e-003
1.000000002000000e-003,6.741500e-003
1.000000025394286e-003,6.741499e-003
1.000000048788571e-003,6.741499e-003
1.000000072182857e-003,6.741498e-003
1.000000095577143e-003,6.741497e-003
1.000000118971428e-003,6.741497e-003
1.000000142365714e-003,6.741496e-003
1.000000165760000e-003,6.741496e-003
1.000000329599999e-003,6.741492e-003
1.000000657279997e-003,6.741482e-003
1.000001312639995e-003,6.741462e-003
1.000002623359990e-003,6.741412e-003
1.000005244799979e-003,6.741243e-003
1.000009331221807e-003,6.740560e-003
1.000013753070017e-003,6.738331e-003
1.000017907921102e-003,6.732203e-003
1.000022220871283e-003,6.713838e-003
1.000027698563066e-003,6.648322e-003
1.000034394615271e-003,6.450183e-003
1.000040861524231e-003,6.042713e-003
1.000046494464217e-003,5.347145e-003
1.000053165468830e-003,3.904098e-003
1.000059504500205e-003,1.699564e-003
1.000065565516901e-003,-1.470744e-003
1.000071524007044e-003,-5.927212e-003
1.000078433303467e-003,-1.326269e-002
1.000088465158693e-003,-2.850469e-002
1.000102498290394e-003,-5.839844e-002
1.000118494087342e-003,-1.039798e-001
1.000137084740768e-003,-1.702924e-001
1.000161251774200e-003,-2.687401e-001
1.000170479083078e-003,-3.089934e-001
1.000177411864693e-003,-3.402490e-001
1.000182839462443e-003,-3.649290e-001
1.000186637801055e-003,-3.822777e-001
1.000190463865894e-003,-3.997989e-001
1.000194294019723e-003,-4.173701e-001
1.000200138583572e-003,-4.442199e-001
1.000208364487449e-003,-4.820408e-001
1.000216313762014e-003,-5.185916e-001
1.000222526957209e-003,-5.471256e-001
1.000228659649383e-003,-5.751963e-001
1.000234898516391e-003,-6.035279e-001
1.000242240498507e-003,-6.363453e-001
1.000249105586462e-003,-6.662619e-001
1.000253978229930e-003,-6.867212e-001
1.000258634458149e-003,-7.053435e-001
1.000263309162750e-003,-7.227662e-001
1.000270026117580e-003,-7.453580e-001
1.000276463021143e-003,-7.639549e-001
1.000283188451254e-003,-7.796814e-001
1.000288765394712e-003,-7.895728e-001
1.000294269864435e-003,-7.963058e-001
1.000299813462747e-003,-8.001339e-001
1.000307151253171e-003,-8.015633e-001
1.000313881597451e-003,-8.001322e-001
1.000318946271057e-003,-7.974791e-001
1.000324152637772e-003,-7.937521e-001
1.000329109291198e-003,-7.897180e-001
1.000334054574951e-003,-7.855235e-001
1.000339161104413e-003,-7.813030e-001
1.000344316067486e-003,-7.774007e-001
1.000349942204532e-003,-7.737343e-001
1.000355386731578e-003,-7.708857e-001
1.000360897015407e-003,-7.687579e-001
1.000366430749499e-003,-7.673352e-001
1.000372021736179e-003,-7.665095e-001
1.000377494733379e-003,-7.661378e-001
1.000382594045730e-003,-7.660247e-001
1.000387785838709e-003,-7.659661e-001
1.000393081527965e-003,-7.657703e-001
1.000399469468935e-003,-7.651225e-001
1.000406761281378e-003,-7.636572e-001
1.000413807641224e-003,-7.614103e-001
1.000419244811839e-003,-7.590264e-001
1.000424737473485e-003,-7.560291e-001
1.000431105243725e-003,-7.520086e-001
1.000438130018460e-003,-7.471578e-001
1.000443409929774e-003,-7.433667e-001
1.000448499793927e-003,-7.397356e-001
1.000453634835971e-003,-7.362502e-001
1.000459220113388e-003,-7.328103e-001
1.000465534243409e-003,-7.294814e-001
1.000471800925612e-003,-7.268336e-001
1.000477053129316e-003,-7.252128e-001
1.000482815563726e-003,-7.240623e-001
